업체,항목,배점,획득점수(미검증 빈칸),증빙·날짜,검토자
브라운트리종합건설 + JD홈플랜,배정 소장·전문공종팀,20,,,
브라운트리종합건설 + JD홈플랜,방수·단열·배수·토목,20,,,
브라운트리종합건설 + JD홈플랜,제주 상주·하자 대응,15,,,
브라운트리종합건설 + JD홈플랜,도면 구현·정밀 마감,10,,,
브라운트리종합건설 + JD홈플랜,공기·원가 관리,5,,,
브라운트리종합건설 + JD홈플랜,동일 범위 견적 경쟁력,10,,,
브라운트리종합건설 + JD홈플랜,필수 통과: 계약 법인·등록·보증,점수와 별도,미확인,,
브라운트리종합건설 + JD홈플랜,필수 통과: 배정 소장·동시 현장,점수와 별도,미확인,,
브라운트리종합건설 + JD홈플랜,필수 통과: 유사 실적·건축주 확인,점수와 별도,미확인,,
브라운트리종합건설 + JD홈플랜,필수 통과: 설계자 승인·변경관리,점수와 별도,미확인,,
엘비탑 in JEJU,주택 완성도·반복 실적,20,,,
엘비탑 in JEJU,배정 소장·전문공종팀,20,,,
엘비탑 in JEJU,방수·단열·배수·토목,20,,,
엘비탑 in JEJU,제주 상주·하자 대응,15,,,
엘비탑 in JEJU,도면 구현·정밀 마감,10,,,
엘비탑 in JEJU,공기·원가 관리,5,,,
엘비탑 in JEJU,동일 범위 견적 경쟁력,10,,,
엘비탑 in JEJU,필수 통과: 계약 법인·등록·보증,점수와 별도,미확인,,
엘비탑 in JEJU,필수 통과: 배정 소장·동시 현장,점수와 별도,미확인,,
엘비탑 in JEJU,필수 통과: 유사 실적·건축주 확인,점수와 별도,미확인,,
엘비탑 in JEJU,필수 통과: 설계자 승인·변경관리,점수와 별도,미확인,,
다봄 / 최규철,주택 완성도·반복 실적,20,,,
다봄 / 최규철,배정 소장·전문공종팀,20,,,
다봄 / 최규철,방수·단열·배수·토목,20,,,
다봄 / 최규철,제주 상주·하자 대응,15,,,
다봄 / 최규철,도면 구현·정밀 마감,10,,,
다봄 / 최규철,공기·원가 관리,5,,,
다봄 / 최규철,동일 범위 견적 경쟁력,10,,,
다봄 / 최규철,필수 통과: 계약 법인·등록·보증,점수와 별도,미확인,,
다봄 / 최규철,필수 통과: 배정 소장·동시 현장,점수와 별도,미확인,,
다봄 / 최규철,필수 통과: 유사 실적·건축주 확인,점수와 별도,미확인,,
다봄 / 최규철,필수 통과: 설계자 승인·변경관리,점수와 별도,미확인,,
화미건축,주택 완성도·반복 실적,20,,,
화미건축,배정 소장·전문공종팀,20,,,
화미건축,방수·단열·배수·토목,20,,,
화미건축,제주 상주·하자 대응,15,,,
화미건축,도면 구현·정밀 마감,10,,,
화미건축,공기·원가 관리,5,,,
화미건축,동일 범위 견적 경쟁력,10,,,
화미건축,필수 통과: 계약 법인·등록·보증,점수와 별도,미확인,,
화미건축,필수 통과: 배정 소장·동시 현장,점수와 별도,미확인,,
화미건축,필수 통과: 유사 실적·건축주 확인,점수와 별도,미확인,,
화미건축,필수 통과: 설계자 승인·변경관리,점수와 별도,미확인,,
티씨엠종합건설,주택 완성도·반복 실적,20,,,
티씨엠종합건설,배정 소장·전문공종팀,20,,,
티씨엠종합건설,방수·단열·배수·토목,20,,,
티씨엠종합건설,제주 상주·하자 대응,15,,,
티씨엠종합건설,도면 구현·정밀 마감,10,,,
티씨엠종합건설,공기·원가 관리,5,,,
티씨엠종합건설,동일 범위 견적 경쟁력,10,,,
티씨엠종합건설,필수 통과: 계약 법인·등록·보증,점수와 별도,미확인,,
티씨엠종합건설,필수 통과: 배정 소장·동시 현장,점수와 별도,미확인,,
티씨엠종합건설,필수 통과: 유사 실적·건축주 확인,점수와 별도,미확인,,
티씨엠종합건설,필수 통과: 설계자 승인·변경관리,점수와 별도,미확인,,
아틀리에건설,주택 완성도·반복 실적,20,,,
아틀리에건설,배정 소장·전문공종팀,20,,,
아틀리에건설,방수·단열·배수·토목,20,,,
아틀리에건설,제주 상주·하자 대응,15,,,
아틀리에건설,도면 구현·정밀 마감,10,,,
아틀리에건설,공기·원가 관리,5,,,
아틀리에건설,동일 범위 견적 경쟁력,10,,,
아틀리에건설,필수 통과: 계약 법인·등록·보증,점수와 별도,미확인,,
아틀리에건설,필수 통과: 배정 소장·동시 현장,점수와 별도,미확인,,
아틀리에건설,필수 통과: 유사 실적·건축주 확인,점수와 별도,미확인,,
아틀리에건설,필수 통과: 설계자 승인·변경관리,점수와 별도,미확인,,
지인 소개 업체,주택 완성도·반복 실적,20,,,
지인 소개 업체,배정 소장·전문공종팀,20,,,
지인 소개 업체,방수·단열·배수·토목,20,,,
지인 소개 업체,제주 상주·하자 대응,15,,,
지인 소개 업체,도면 구현·정밀 마감,10,,,
지인 소개 업체,공기·원가 관리,5,,,
지인 소개 업체,동일 범위 견적 경쟁력,10,,,
지인 소개 업체,필수 통과: 계약 법인·등록·보증,점수와 별도,미확인,,
지인 소개 업체,필수 통과: 배정 소장·동시 현장,점수와 별도,미확인,,
지인 소개 업체,필수 통과: 유사 실적·건축주 확인,점수와 별도,미확인,,
지인 소개 업체,필수 통과: 설계자 승인·변경관리,점수와 별도,미확인,,
